         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices
        50,   11697.6,        51,        51,       445,1.26905e+06,      1142,   4755.54,     11731,   2427.08,      9673,    606357,      3269,    601490,      4634,       448,      2138,         0,         0,    7148.2,      8338,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,   2597.74,         1,         1,         5,1.00092e+06,      1125,   152.873,       405,    19.776,        45,      3345,        49,      3309,        33,         8,         0,         0,         0,    21.146,        27,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   4308.22,         5,         5,        26,2.28625e+06,      1101,   450.195,      1320,   101.035,       343,   22122.9,       196,     21913,       200,        31,        57,         0,         0,   468.505,       578,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   5899.18,         9,        10,        64,1.72436e+06,      1106,   1023.97,      2541,   336.247,      1374,   61835.6,       461,     61334,       523,        68,       179,         0,         0,    1165.7,      1375,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   8186.75,        23,        25,       205,1.74953e+06,      1121,   2006.14,      4755,   782.193,      3492,    199005,      1331,    197275,      1763,       183,       743,         0,         0,   2900.78,      3343,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   13940.3,        52,        52,       475,1.79681e+06,      1146,   5802.45,     13785,   4120.08,     17401,    717843,      4549,    710685,      6780,       578,      3196,         0,         0,   9392.01,     10214,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         1,   657.237,         1,         1,         3,    393319,      2110,      6.61,        18,     2.048,         9,   517.478,        14,       511,         6,         1,         0,         0,         0,     3.882,        10,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
         5,   4063.77,         7,         7,        26,1.43796e+06,      1097,   395.588,      1126,   129.346,       402,   22760.5,       235,     22536,       225,        28,        45,         0,         0,   285.257,       375,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        10,   5366.68,        10,        10,        64,1.2586e+06,      1102,   773.521,      2141,   183.501,       698,   54670.5,       441,     54164,       529,        59,       187,         0,         0,   737.341,       943,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        25,   8671.13,        25,        25,       211,1.28959e+06,      1117,    2539.5,      6261,   1675.39,      6477,    249447,      1992,    246744,      2453,       254,       861,         0,         0,   3614.52,      4110,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
        50,   13266.6,        48,        50,       499,1.34738e+06,      1142,   6426.58,     14030,   3837.34,     15448,    739369,      4484,    732295,      6605,       576,      3031,         0,         0,   9888.14,     10582,    546620,    365834,    188905,    318655,    134320,         0,         0,      1092,      8385,    109171
