vertices: 3940, polygons: 4498
       idx,             dist_ki,           dist_edbt,             cost_ki,           cost_edbt,   vnum_ki, vnum_edbt
        66/3,             3317.05,             3317.05,              42.728,             81639.9,         2,         2
        66/4,             4224.79,             4224.79,              42.728,             81639.9,         2,         2
        67/0,                   0,                   0,              17.682,             55451.4,         1,         2
        67/1,             202.485,             202.485,              17.682,             55451.4,         2,         2
        67/2,             1534.47,             1534.47,              17.682,             55451.4,         2,         2
        67/3,             1632.71,             1632.71,              17.682,             55451.4,         2,         2
        67/4,              2138.1,              2138.1,              17.682,             55451.4,         3,         3
        68/0,                   0,                   0,              31.223,              100810,         1,         2
        68/1,             1731.49,             1731.49,              31.223,              100810,         2,         2
        68/2,             2315.62,             2315.62,              31.223,              100810,         2,         2
        68/3,             2576.72,             2576.72,              31.223,              100810,         2,         2
        68/4,             2913.97,             2913.97,              31.223,              100810,         2,         2
        69/0,                   0,                   0,              62.156,              168733,         1,         2
        69/1,             602.835,             602.835,              62.156,              168733,         2,         2
        69/2,             1048.21,             1048.21,              62.156,              168733,         2,         2
        69/3,             5169.26,             5169.26,              62.156,              168733,         3,         3
        69/4,             6053.66,             6053.66,              62.156,              168733,         2,         2
        70/0,                   0,                   0,              135.12,              732037,         1,         2
        70/1,             1837.18,             1837.18,              135.12,              732037,         2,         2
        70/2,             6273.94,             6273.94,              135.12,              732037,         2,         2
        70/3,             6287.08,             6287.08,              135.12,              732037,         4,         4
        70/4,             6550.12,             6550.12,              135.12,              732037,         3,         3
        71/0,                   0,                   0,             109.775,              327831,         1,         2
        71/1,             3583.61,             3583.61,             109.775,              327831,         2,         2
        71/2,             3872.31,             3872.31,             109.775,              327831,         2,         2
        71/3,             5291.06,             5291.06,             109.775,              327831,         3,         3
        71/4,             5879.47,             5879.47,             109.775,              327831,         6,         6
        72/0,                   0,                   0,              29.184,              115579,         1,         2
        72/1,                2150,                2150,              29.184,              115579,         2,         2
        72/2,             3727.63,             3727.63,              29.184,              115579,         3,         3
        72/3,              3849.8,              3849.8,              29.184,              115579,         3,         3
        72/4,             4069.79,             4069.79,              29.184,              115579,         2,         2
        73/0,                   0,                   0,             101.978,              187004,         1,         2
        73/1,             1238.25,             1238.25,             101.978,              187004,         2,         2
        73/2,             3873.36,             3873.36,             101.978,              187004,         3,         3
        73/3,             3960.98,             3960.98,             101.978,              187004,         3,         3
        73/4,             4235.62,             4235.62,             101.978,              187004,         3,         3
        74/0,                   0,                   0,               27.94,             72405.2,         1,         2
        74/1,             500.852,             500.852,               27.94,             72405.2,         2,         2
        74/2,             3044.98,             3044.98,               27.94,             72405.2,         4,         4
        74/3,             4471.77,             4471.77,               27.94,             72405.2,         4,         4
        74/4,             4862.15,             4862.15,               27.94,             72405.2,         4,         4
        75/0,                   0,                   0,              41.206,              136593,         1,         2
        75/1,             1900.48,             1900.48,              41.206,              136593,         2,         2
        75/2,             3014.55,             3014.55,              41.206,              136593,         2,         2
