         k,      dist,      rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   176.885,         1,         8,         0,         0,   514.801,      1260,   439.983,      1029,   797.201,      1849,   959.986,      1849,   8685.09,       624,      7816,       517,         0,         0,   8887.04,       624,      8027,       517,        91,     0.791,        22,   5907.51,      8553,      6246,     15828,         6,        75
         1,   131.999,         1,         8,         0,         0,   431.359,      1009,   410.574,       951,    29.871,       101,    22.657,       101,   1124.49,       101,      1009,        67,         0,         0,   1116.82,       101,      1017,        67,        25,     9.926,        77,   5907.51,      8553,      6246,     15828,         6,        75
         1,    90.103,         1,         5,         0,         0,   318.375,       815,    323.19,       645,     7.262,        34,     4.921,        34,   404.772,        34,       369,        19,         0,         0,   301.643,        34,       274,        19,         9,    36.618,       254,   5907.51,      8553,      6246,     15828,         6,        75
         1,   113.172,         1,         7,         0,         0,   213.321,       567,   168.073,       465,    23.107,        74,    16.229,        74,   780.481,        76,       704,        49,         0,         0,   772.203,        76,       699,        49,        20,     7.514,        50,   5907.51,      8553,      6246,     15828,         6,        75
         1,   193.928,         1,        11,         0,         0,   520.185,      1283,   492.841,      1141,    66.973,       194,    57.432,       194,    2509.2,       194,      2278,       148,         0,         0,   2423.02,       194,      2201,       148,        38,     1.696,        10,   5907.51,      8553,      6246,     15828,         6,        75
         1,   207.757,         1,        11,         0,         0,   774.065,      1824,   723.582,      1642,   983.399,      2083,    1130.4,      2083,   3066.51,       238,      2787,       181,         0,         0,   3005.88,       238,      2724,       181,        42,     0.082,         5,   5907.51,      8553,      6246,     15828,         6,        75
         1,    231.14,         2,        10,         0,         0,   860.196,      1936,   897.737,      1806,   1510.29,      3567,   1441.23,      3567,   11940.6,       835,     10774,       693,         0,         0,     12386,       835,     11201,       693,       113,    33.103,       229,   5907.51,      8553,      6246,     15828,         6,        75
         1,   54.5229,         1,         4,         0,         0,   101.673,       284,    50.852,       170,    10.479,        42,     6.622,        42,   438.797,        44,       404,        26,         0,         0,   433.089,        44,       400,        26,        12,     10.93,       110,   5907.51,      8553,      6246,     15828,         6,        75
         1,   76.1245,         1,         7,         0,         0,   318.712,       842,   282.047,       668,    47.298,       128,    38.384,       128,   1779.54,       129,      1628,       107,         0,         0,   1862.24,       129,      1707,       107,        15,    20.721,       189,   5907.51,      8553,      6246,     15828,         6,        75
         1,   140.496,         1,         7,         0,         0,   487.259,      1044,    472.51,       983,    17.035,        57,    11.705,        57,   548.888,        57,       497,        34,         0,         0,   539.721,        57,       490,        34,        16,     1.242,        25,   5907.51,      8553,      6246,     15828,         6,        75
         1,   244.925,         1,        11,         0,         0,   370.593,       900,   273.679,       744,   1874.09,      4580,   1971.94,      4580,   7076.04,       506,      6392,       424,         0,         0,   6961.01,       506,      6280,       424,        59,     3.452,        20,   5907.51,      8553,      6246,     15828,         6,        75
         1,   43.1758,         1,         3,         0,         0,    44.286,       118,    27.988,        85,      5.29,        22,     2.717,        22,   157.019,        22,       142,         9,         0,         0,   152.921,        22,       139,         9,         7,    13.906,       112,   5907.51,      8553,      6246,     15828,         6,        75
         1,   81.9648,         2,         3,         0,         0,    74.102,       229,    47.935,       153,    49.027,       168,    40.057,       168,   809.001,        66,       740,        49,         0,         0,   803.262,        66,       740,        49,        12,     3.916,        20,   5907.51,      8553,      6246,     15828,         6,        75
         1,   110.198,         1,        11,         0,         0,    369.36,       829,   349.659,       709,    82.338,       231,    73.525,       231,    3314.7,       232,      3024,       198,         0,         0,   3326.55,       232,      3047,       198,        26,     5.942,        45,   5907.51,      8553,      6246,     15828,         6,        75
         1,   88.6389,         1,         6,         0,         0,   297.741,       818,   301.034,       720,    83.833,       234,    76.289,       234,   3164.35,       235,      2886,       182,         0,         0,   3441.54,       235,      3148,       182,        44,     15.24,       147,   5907.51,      8553,      6246,     15828,         6,        75
         1,   27.1595,         1,         3,         0,         0,    47.424,       139,    14.809,        60,      6.24,        25,     3.463,        25,   210.483,        26,       192,        12,         0,         0,    203.39,        26,       186,        12,         9,    25.274,       173,   5907.51,      8553,      6246,     15828,         6,        75
         1,   41.5168,         1,         3,         0,         0,    50.251,       158,    27.869,       102,     5.741,        20,     2.926,        20,   163.856,        22,       148,        10,         0,         0,   159.087,        22,       145,        10,         6,     6.548,        84,   5907.51,      8553,      6246,     15828,         6,        75
         1,   19.7231,         1,         2,         0,         0,    23.515,        80,     7.057,        29,       3.4,        10,     1.182,        10,    88.605,        12,        80,         5,         0,         0,    85.522,        12,        78,         5,         3,     1.862,        12,   5907.51,      8553,      6246,     15828,         6,        75
