         k,      dist, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,        10,         0,         0,    97.045,       137,    12.711,        26,     8.409,         7,     0.742,         7,   192.691,        10,       189,         2,         0,     2.526,        26,   19135.1,      8419,      6246,     15344,        38,        75
         1,   52.9847,         0,         0,   290.501,       329,   129.909,       163,    91.848,       110,      77.8,       110,   3986.75,        64,      3905,        46,         0,    17.658,        49,   19135.1,      8419,      6246,     15344,        38,        75
         1,   7.07107,         0,         0,    71.692,       100,     7.429,        17,       8.8,         7,     0.745,         7,   280.864,        11,       275,         3,         0,     4.323,        39,   19135.1,      8419,      6246,     15344,        38,        75
         1,   15.2315,         0,         0,    23.716,        35,    24.215,        24,     11.39,        12,     3.322,        12,   263.323,        12,       256,         3,         0,    20.557,        93,   19135.1,      8419,      6246,     15344,        38,        75
         1,   2.23607,         0,         0,    39.372,        61,     3.219,        10,     8.042,         5,     0.146,         5,   181.855,         8,       179,         2,         0,     0.527,        20,   19135.1,      8419,      6246,     15344,        38,        75
         1,         6,         0,         0,     70.89,       101,    12.408,        25,     8.016,         1,     0.016,         1,     0.561,         6,         0,         0,         0,     0.098,         8,   19135.1,      8419,      6246,     15344,        38,        75
         1,   12.4018,         0,         0,    59.035,        73,    17.054,        29,    13.666,        10,     3.567,        10,   444.682,        13,       433,         5,         0,    10.909,        27,   19135.1,      8419,      6246,     15344,        38,        75
         1,   22.0227,         0,         0,    275.55,       213,   111.332,       117,    10.674,        13,     2.758,        13,   457.204,        15,       447,         5,         0,      9.09,        44,   19135.1,      8419,      6246,     15344,        38,        75
         1,   33.6155,         0,         0,   337.298,       365,   105.939,       145,    10.228,         9,     2.385,         9,    388.44,        16,       377,         6,         0,    20.072,        61,   19135.1,      8419,      6246,     15344,        38,        75
         1,   14.2205,         0,         0,   208.554,       238,    23.315,        49,    11.327,        11,     2.956,        11,   612.773,        15,       600,         6,         0,    38.135,       135,   19135.1,      8419,      6246,     15344,        38,        75
         1,   14.5602,         0,         0,    60.441,        95,    11.665,        26,    11.088,        13,     3.094,        13,   539.802,        17,       529,         6,         0,    17.639,        71,   19135.1,      8419,      6246,     15344,        38,        75
         1,   9.21954,         0,         0,    46.492,        50,    11.788,        21,     8.108,         5,     0.547,         5,   180.564,         7,       177,         2,         0,     1.353,        13,   19135.1,      8419,      6246,     15344,        38,        75
         1,   12.1655,         0,         0,   119.988,       157,    23.912,        40,    11.048,        11,     3.112,        11,   539.198,        15,       525,         7,         0,     7.888,        25,   19135.1,      8419,      6246,     15344,        38,        75
         1,   24.5366,         0,         0,   124.401,       143,    32.881,        52,    22.209,        26,    12.315,        26,   1270.09,        26,      1245,        16,         0,     4.698,        20,   19135.1,      8419,      6246,     15344,        38,        75
