         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   490.698,         1,         1,         3,         0,         0,   324.216,       994,     4.907,        22,   467.959,        11,     1.481,        11,   4293.35,        14,      4284,         8,         0,         0,    4319.5,        14,      4311,         8,         0,     3.226,        23,    496737,    390046,    188905,    307713,      7547,      8385
         1,   1240.88,         1,         1,         4,         0,         0,   1099.98,      3087,    15.096,        79,   472.181,        12,     1.488,        12,   2441.37,        14,      2433,         7,         0,         0,   2510.03,        14,      2503,         7,         1,     7.419,        85,    496737,    390046,    188905,    307713,      7547,      8385
         1,   440.933,         1,         1,         3,         0,         0,   144.677,       405,     6.935,        27,   451.007,        11,     1.254,        11,   3425.01,        13,      3417,         6,         0,         0,   3558.08,        13,      3552,         6,         2,     1.927,        20,    496737,    390046,    188905,    307713,      7547,      8385
         1,   1560.46,         1,         1,         2,         0,         0,   844.578,      2697,    34.074,       109,   451.829,        13,     1.414,        13,   2885.84,        15,      2879,         6,         0,         0,    3047.9,        15,      3040,         6,         4,     8.371,        49,    496737,    390046,    188905,    307713,      7547,      8385
         1,   136.125,         1,         1,         2,         0,         0,    38.701,        92,     2.567,        12,   458.839,         4,     0.022,         4,   1448.19,         7,      1446,         2,         0,         0,   1451.92,         7,      1450,         2,         0,     0.236,        12,    496737,    390046,    188905,    307713,      7547,      8385
         1,   207.077,         1,         1,         2,         0,         0,     19.96,        45,     3.056,        12,   447.479,         5,     0.033,         5,   1170.11,         8,      1168,         2,         0,         0,   1140.92,         8,      1138,         2,         0,     0.172,        20,    496737,    390046,    188905,    307713,      7547,      8385
         1,   157.953,         1,         1,         2,         0,         0,    33.512,        64,     2.767,        11,   445.287,         5,     0.035,         5,   745.127,         8,       742,         2,         0,         0,   683.142,         8,       681,         2,         0,       0.9,        26,    496737,    390046,    188905,    307713,      7547,      8385
         1,   46.9574,         1,         1,         2,         0,         0,   220.403,       639,     1.107,         8,   439.024,         5,     0.032,         5,   732.211,         8,       730,         2,         0,         0,   808.893,         8,       806,         2,         0,     0.271,        20,    496737,    390046,    188905,    307713,      7547,      8385
         1,   928.995,         1,         1,         3,         0,         0,   607.493,      1772,     9.998,        45,   467.652,        11,     1.204,        11,   4221.66,        13,      4214,         6,         0,         0,   3891.58,        13,      3886,         6,         2,     2.194,        23,    496737,    390046,    188905,    307713,      7547,      8385
         1,   134.015,         1,         1,         2,         0,         0,    16.421,        39,     2.101,        10,   449.005,         1,     0.024,         1,     0.497,         6,         0,         0,         0,         0,     0.204,         6,         0,         0,         0,     0.066,         8,    496737,    390046,    188905,    307713,      7547,      8385
         1,   765.042,         1,         1,         2,         0,         0,   309.282,       862,     9.163,        39,   514.251,         9,     1.012,         9,   2403.71,        11,      2398,         4,         0,         0,   2102.66,        11,      2097,         4,         2,     3.546,        27,    496737,    390046,    188905,    307713,      7547,      8385
         1,    956.99,         1,         1,         3,         0,         0,   445.883,      1203,    12.701,        35,   687.502,         8,     1.259,         8,   2715.06,        11,      2706,         4,         0,         0,   3361.38,        11,      3351,         4,         0,     6.813,        33,    496737,    390046,    188905,    307713,      7547,      8385
         1,   486.684,         1,         1,         2,         0,         0,    76.579,       173,     8.455,        15,   537.938,         5,     0.947,         5,   926.934,         7,       922,         2,         0,         0,   839.207,         7,       833,         2,         0,     1.146,        13,    496737,    390046,    188905,    307713,      7547,      8385
         1,   331.602,         1,         1,         2,         0,         0,    40.119,        84,     2.145,        11,   832.595,         5,     0.103,         5,   815.301,         9,       811,         2,         0,         0,   901.124,         9,       898,         2,         0,     6.989,        68,    496737,    390046,    188905,    307713,      7547,      8385
         1,   481.265,         1,         1,         3,         0,         0,   286.199,       766,     9.302,        28,   487.668,        10,      1.28,        10,   3649.37,        14,      3640,         6,         0,         0,   5265.54,        14,      5240,         6,         2,     3.493,        19,    496737,    390046,    188905,    307713,      7547,      8385
         1,   102.421,         1,         1,         2,         0,         0,    29.677,        43,     2.044,        12,   447.987,         1,     0.013,         1,     0.556,         7,         0,         0,         0,         0,      0.55,         7,         0,         0,         0,     1.071,        18,    496737,    390046,    188905,    307713,      7547,      8385
         1,    675.54,         1,         1,         2,         0,         0,   359.806,       959,     9.062,        27,   462.225,         4,     0.036,         4,   802.899,         7,       800,         2,         0,         0,   592.855,         7,       591,         2,         0,     0.583,        17,    496737,    390046,    188905,    307713,      7547,      8385
         1,   861.887,         1,         1,         2,         0,         0,   339.625,      1014,     7.683,        31,   443.587,         7,     0.299,         7,   1016.86,        10,      1013,         3,         0,         0,   715.638,        10,       712,         3,         1,      3.68,        39,    496737,    390046,    188905,    307713,      7547,      8385
         1,   1072.74,         2,         2,         2,         0,         0,   429.717,      1252,     9.411,        38,   470.939,        23,     3.369,        23,   1246.55,         7,      1245,         2,         0,         0,   1226.67,         7,      1224,         2,         0,     5.527,        66,    496737,    390046,    188905,    307713,      7547,      8385
