         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,        30,         1,         1,         2,         0,         0,    67.092,       199,    32.022,       117,     2.393,        11,     0.826,        11,    96.362,        14,        91,         5,         0,         0,    89.714,        14,        84,         5,         3,     5.528,        49,     11493,      8432,      6246,      8037,         8,        75
         1,   45.5211,         1,         1,         4,         0,         0,    48.606,       148,    25.228,        88,     8.101,        26,     4.796,        26,   249.884,        29,       232,        15,         0,         0,   250.639,        29,       235,        15,         8,     3.924,        28,     11493,      8432,      6246,      8037,         8,        75
         1,   93.2468,         1,         1,         6,         0,         0,   115.455,       270,    71.321,       200,    19.841,        50,    12.475,        50,    679.04,        53,       631,        36,         0,         0,    653.15,        53,       609,        36,        11,     4.698,        23,     11493,      8432,      6246,      8037,         8,        75
         1,   60.2791,         1,         1,         5,         0,         0,   226.599,       596,   103.103,       350,     38.04,       100,    22.793,       100,   1383.61,       100,      1299,        75,         0,         0,   1292.29,       100,      1217,        75,        17,     5.595,        37,     11493,      8432,      6246,      8037,         8,        75
         1,   31.1448,         1,         1,         2,         0,         0,    77.971,       159,    29.055,        66,     2.823,        15,     1.373,        15,    97.681,        17,        89,         7,         0,         0,    98.979,        17,        90,         7,         4,     6.501,        61,     11493,      8432,      6246,      8037,         8,        75
         1,   143.867,         1,         1,        11,         0,         0,   226.023,       567,   138.155,       381,   114.931,       302,    98.752,       302,   2590.51,       166,      2415,       131,         0,         0,   2537.67,       166,      2342,       131,        25,    14.684,        85,     11493,      8432,      6246,      8037,         8,        75
         1,   45.0463,         1,         1,         3,         0,         0,    55.864,       149,    26.902,        89,     7.564,        25,     4.428,        25,   229.406,        28,       211,        13,         0,         0,   224.188,        28,       207,        13,        10,     6.174,        38,     11493,      8432,      6246,      8037,         8,        75
         1,   84.1105,         1,         1,         5,         0,         0,     96.04,       258,    68.558,       183,    15.163,        47,    10.451,        47,   550.052,        50,       507,        29,         0,         0,   507.556,        50,       472,        29,        13,     1.225,        15,     11493,      8432,      6246,      8037,         8,        75
         1,   74.7033,         1,         1,         8,         0,         0,   147.779,       342,   117.809,       302,    33.745,        87,    25.663,        87,   1179.86,        87,      1096,        66,         0,         0,   1242.02,        87,      1159,        66,        15,    15.441,       111,     11493,      8432,      6246,      8037,         8,        75
         1,   32.7216,         1,         1,         4,         0,         0,    50.295,       145,    25.325,        87,     4.881,        24,      3.43,        24,   292.622,        26,       272,        17,         0,         0,   287.756,        26,       269,        17,         3,    25.317,       150,     11493,      8432,      6246,      8037,         8,        75
         1,   81.2662,         1,         1,         6,         0,         0,    47.197,        97,    22.103,        68,    20.739,        51,    14.114,        51,   653.282,        56,       608,        38,         0,         0,   672.253,        56,       624,        38,        11,     4.808,        19,     11493,      8432,      6246,      8037,         8,        75
         1,   46.7414,         1,         1,         5,         0,         0,    99.478,       254,    70.823,       186,     8.565,        26,     4.731,        26,   311.006,        29,       293,        16,         0,         0,   307.807,        29,       288,        16,         8,    37.172,        43,     11493,      8432,      6246,      8037,         8,        75
         1,    39.678,         1,         1,         5,         0,         0,   100.809,       279,    41.571,       131,    15.575,        46,    10.677,        46,   573.361,        50,       538,        32,         0,         0,   571.899,        50,       540,        32,        10,     0.161,         9,     11493,      8432,      6246,      8037,         8,        75
         1,   93.9353,         1,         1,         8,         0,         0,    167.36,       454,   139.774,       385,    69.554,       115,    36.003,       115,   1728.99,       115,      1603,        88,         0,         0,   1887.74,       115,      1734,        88,        20,     9.093,        46,     11493,      8432,      6246,      8037,         8,        75
         1,   9.21954,         1,         1,         2,         0,         0,    78.164,       125,     6.877,        18,      3.48,        10,     1.448,        10,   100.942,        12,        96,         4,         0,         0,    88.585,        12,        84,         4,         2,     9.931,        34,     11493,      8432,      6246,      8037,         8,        75
         1,   102.078,         1,         1,         2,         0,         0,   260.264,       387,   153.602,       328,    12.673,        25,     6.575,        25,   257.915,        28,       232,        13,         0,         0,   195.507,        28,       175,        13,         9,    84.657,       501,     11493,      8432,      6246,      8037,         8,        75
         1,   69.2046,         1,         1,         8,         0,         0,   125.461,       254,    92.895,       227,    88.728,       111,    61.281,       111,   1483.28,       111,      1374,        81,         0,         0,   1910.07,       111,      1774,        81,        19,     9.751,        27,     11493,      8432,      6246,      8037,         8,        75
         1,   48.6452,         1,         1,         5,         0,         0,   274.548,       338,    79.127,       146,    61.148,        63,    22.215,        63,   1134.87,        67,      1015,        41,         0,         0,   897.288,        67,       832,        41,        14,     2.932,        21,     11493,      8432,      6246,      8037,         8,        75
         1,   65.7407,         1,         1,         6,         0,         0,   581.263,       740,   231.085,       459,    21.512,        54,    13.492,        54,   613.679,        54,       567,        34,         0,         0,   625.266,        54,       573,        34,        13,     6.053,        56,     11493,      8432,      6246,      8037,         8,        75
