         k,      dist,      rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   2302.68,         1,         3,         0,         0,   3474.76,      6352,   127.294,       338,   134.361,        18,     3.173,        18,   1391.13,        21,      1369,        12,         0,         0,      1343,        21,      1322,        12,         3,     23.67,       150,    431960,    365015,    188905,    691136,       671,      8385
         1,   5114.75,         1,         8,         0,         0,   11475.1,     21935,   758.957,      1621,   175.517,       125,    33.243,       125,   19314.6,       129,     19146,       103,         0,         0,   16264.4,       129,     16101,       103,        12,     3.029,        23,    431960,    365015,    188905,    691136,       671,      8385
         1,   1834.08,         1,         3,         0,         0,   2205.88,      4060,    57.157,       175,   132.523,        20,     3.361,        20,   1791.81,        24,      1770,        16,         0,         0,   1574.31,        24,      1552,        16,         1,     6.133,        75,    431960,    365015,    188905,    691136,       671,      8385
         1,   3614.85,         1,         5,         0,         0,   5842.46,     10782,   332.206,       717,    144.56,        49,     9.986,        49,   6735.71,        52,      6674,        38,         0,         0,   6338.14,        52,      6279,        38,         6,    10.714,        73,    431960,    365015,    188905,    691136,       671,      8385
         1,   438.451,         1,         3,         0,         0,   386.043,       653,     7.505,        26,   126.206,         8,     0.602,         8,   338.683,        10,       332,         3,         0,         0,   339.078,        10,       333,         3,         1,       2.5,        25,    431960,    365015,    188905,    691136,       671,      8385
         1,   3587.09,         1,         4,         0,         0,   5722.42,     11242,   328.837,       751,   141.106,        44,     8.234,        44,   4741.23,        47,      4677,        35,         0,         0,   4843.49,        47,      4794,        35,         4,    14.567,       106,    431960,    365015,    188905,    691136,       671,      8385
         1,   2750.55,         1,         3,         0,         0,   3468.51,      6479,   119.573,       356,   166.713,        94,    18.995,        94,   4851.36,        48,      4801,        35,         0,         0,    4540.4,        48,      4491,        35,         6,     8.569,        53,    431960,    365015,    188905,    691136,       671,      8385
         1,   2084.41,         1,         7,         0,         0,    2355.1,      4579,    76.447,       228,   149.902,        82,    15.416,        82,   6236.08,        57,      6180,        41,         0,         0,   5950.03,        57,      5892,        41,         6,    20.381,       194,    431960,    365015,    188905,    691136,       671,      8385
         1,   2067.52,         2,         4,         0,         0,   1973.06,      3532,     78.93,       246,   142.674,        59,      10.8,        59,   4768.61,        41,      4725,        29,         0,         0,   4717.73,        41,      4671,        29,         6,    11.601,        97,    431960,    365015,    188905,    691136,       671,      8385
         1,   4680.27,         1,         7,         0,         0,    9547.8,     17521,   555.557,      1211,   151.343,        71,     15.61,        71,   6464.41,        73,      6376,        59,         0,         0,   7325.24,        73,      7239,        59,         8,     7.271,        43,    431960,    365015,    188905,    691136,       671,      8385
         1,    2219.3,         1,         2,         0,         0,      1922,      3507,    71.092,       218,    128.92,        15,     1.584,        15,   1045.41,        15,      1034,         5,         0,         0,   1377.35,        15,      1364,         5,         4,     9.183,        84,    431960,    365015,    188905,    691136,       671,      8385
