         k,      dist,      rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   45.0111,         1,         2,         0,         0,   308.877,       477,    54.584,        63,    14.967,        17,     2.641,        17,   691.729,        19,       677,         8,         0,         0,     686.7,        19,       674,         8,         6,     8.584,        53,   22016.1,     27283,     23223,     51413,        63,       157
         1,   38.3196,         1,         3,         0,         0,   257.105,       376,    34.676,        78,   561.775,      1012,   432.169,      1012,   474.768,        13,       457,         5,         0,         0,   471.627,        13,       455,         5,         1,     6.259,        56,   22016.1,     27283,     23223,     51413,        63,       157
         1,   56.4358,         3,         2,         0,         0,     34.49,        88,    20.588,        60,   224.088,       460,   188.487,       460,   1142.67,        27,      1118,        18,         0,         0,    1134.1,        27,      1108,        18,         4,     3.289,        23,   22016.1,     27283,     23223,     51413,        63,       157
         1,   34.6206,         1,         5,         0,         0,   120.548,       277,    35.066,        98,    30.894,        32,     9.055,        32,   2282.46,        34,      2250,        22,         0,         0,   4379.47,        34,      4330,        22,         6,    10.376,        54,   22016.1,     27283,     23223,     51413,        63,       157
         1,   112.906,         7,        11,         0,         0,   524.638,       649,   215.385,       394,   3765.07,      7905,   3540.21,      7905,   21275.3,       248,     20929,       212,         0,         0,   19262.2,       248,     18942,       212,        18,    12.776,       111,   22016.1,     27283,     23223,     51413,        63,       157
         1,   78.2368,         4,         2,         0,         0,   135.701,       217,    35.597,       100,   198.937,       549,   151.079,       549,   3256.28,        64,      3200,        35,         0,         0,   3201.69,        64,      3151,        35,        23,    36.389,       193,   22016.1,     27283,     23223,     51413,        63,       157
         1,   15.2971,         1,         2,         0,         0,    70.901,       166,    12.825,        51,    14.362,        16,     1.857,        16,   703.572,        19,       692,         8,         0,         0,    704.99,        19,       692,         8,         6,     4.378,        35,   22016.1,     27283,     23223,     51413,        63,       157
         1,   19.0263,         1,         2,         0,         0,    63.323,        88,     0.798,        11,    12.021,         1,     0.013,         1,     0.591,         7,         0,         0,         0,         0,     0.457,         7,         0,         0,         0,     3.947,        67,   22016.1,     27283,     23223,     51413,        63,       157
         1,   70.9366,         4,         2,         0,         0,    88.641,       133,    37.173,        98,   379.282,       724,    317.49,       724,   1954.52,        36,      1907,        30,         0,         0,   1870.76,        36,      1828,        30,         2,      3.41,        15,   22016.1,     27283,     23223,     51413,        63,       157
         1,    43.566,         2,         2,         0,         0,   101.028,       183,    21.928,        72,    54.139,        76,    24.185,        76,   942.486,        17,       928,        10,         0,         0,   1182.73,        17,      1154,        10,         2,     6.672,        29,   22016.1,     27283,     23223,     51413,        63,       157
         1,   22.7292,         1,         4,         0,         0,   198.839,       291,    31.297,        93,    23.244,        17,     3.892,        17,   1161.01,        21,      1131,        12,         0,         0,   1032.66,        21,      1012,        12,         1,    23.574,       120,   22016.1,     27283,     23223,     51413,        63,       157
         1,   52.7205,         1,         4,         0,         0,   373.237,       378,    55.365,        97,   589.829,       820,    411.04,       820,   1898.81,        32,      1828,        18,         0,         0,   1711.26,        32,      1665,        18,         8,    14.083,        83,   22016.1,     27283,     23223,     51413,        63,       157
         1,   34.8898,         1,         4,         0,         0,   222.731,       439,   111.761,       282,    20.653,        41,     6.971,        41,   1941.35,        44,      1901,        27,         0,         0,   1938.99,        44,      1900,        27,        11,    18.446,       146,   22016.1,     27283,     23223,     51413,        63,       157
         1,   129.774,         5,         4,         0,         0,    224.71,       299,   102.436,       233,    1496.4,      4033,    1305.4,      4033,   12293.7,       160,     12109,       126,         0,         0,   12379.9,       160,     12195,       126,        20,    18.954,        91,   22016.1,     27283,     23223,     51413,        63,       157
