         k,      dist,      rank,  max_rank,      vnum,   tot_hit, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,rtree_cost, cost_poly,  gen_poly, sort_cost,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices,         x,         y
         1,   3546.93,         1,         1,         6,         1,         0,         0,   233.348,       722,     15.24,        69,         0,         0,         0,         0,   1385.07,        69,      1339,        46,        15,         0,     5.055,        62,    24.315,        35,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     28366,     15336
         1,   3364.31,         1,         1,         6,         1,         0,         0,   233.102,       739,    14.314,        65,         0,         0,         0,         0,   1828.19,        67,      1768,        54,         6,         0,     0.904,        17,     23.16,        32,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     18277,     29805
         1,   10633.4,         1,         1,         8,         1,         0,         0,   3869.81,      9524,    39.189,       169,         0,         0,         0,         0,   6799.23,       171,      6683,       126,        36,         0,      0.47,        13,    53.598,        63,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     58037,     45238
         1,   3797.32,         1,         1,         4,         1,         0,         0,   294.236,       731,      9.75,        54,         0,         0,         0,         0,   1816.07,        56,      1775,        43,         6,         0,     5.684,        61,    12.905,        25,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     29609,     62322
         1,   6604.93,         1,         1,         7,         1,         0,         0,    1103.4,      3158,    27.078,       121,         0,         0,         0,         0,   4576.95,       123,      4486,       101,        14,         0,     7.754,        76,    37.834,        55,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     37119,     52491
         1,   10943.9,         1,         1,         6,         2,         0,         0,    3876.1,     10022,   135.048,       576,         0,         0,         0,         0,   13438.7,       331,     13194,       270,        41,         0,     1.757,        21,    56.816,        72,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     63985,     48756
         1,   5260.88,         1,         1,         7,         1,         0,         0,   613.341,      1817,    14.193,        69,         0,         0,         0,         0,   2688.63,        73,      2629,        57,         8,         0,     7.123,        61,     29.67,        39,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     60540,     82298
         1,   1955.82,         1,         1,         3,         1,         0,         0,    71.295,       212,     6.253,        30,         0,         0,         0,         0,   1040.51,        35,      1018,        23,         4,         0,    13.632,       154,    15.514,        25,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     20378,     54892
         1,   12180.7,         1,         1,         6,         1,         0,         0,    4084.9,      9074,    46.266,       186,         0,         0,         0,         0,   4931.94,       189,      4772,       158,        24,         0,    19.092,       113,    52.927,        62,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     46757,      5035
         1,   4035.72,         1,         1,         4,         1,         0,         0,   420.231,       937,    12.408,        52,         0,         0,         0,         0,   1600.65,        55,      1561,        42,         6,         0,     0.918,        13,    21.408,        30,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     97107,      7140
         1,    5288.7,         1,         1,         6,         1,         0,         0,   757.646,      1906,    15.536,        83,         0,         0,         0,         0,    3175.3,        88,      3116,        68,        12,         0,     6.393,        60,    30.517,        38,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     75187,     82016
         1,   4549.27,         1,         1,         8,         1,         0,         0,   228.644,       746,    13.078,        69,         0,         0,         0,         0,   2292.69,        72,      2244,        51,        11,         0,       2.9,        56,    22.909,        38,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     67728,     97868
         1,   7246.49,         1,         1,        11,         1,         0,         0,   1450.55,      3607,    36.729,       151,         0,         0,         0,         0,   5437.73,       153,      5324,       118,        25,         0,     4.001,        33,    54.337,        66,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,      5185,     78733
         1,   6978.36,         1,         1,         7,         1,         0,         0,    1489.4,      3528,    25.365,       109,         0,         0,         0,         0,   4113.96,       111,      4026,        89,        12,         0,    11.042,        67,    29.224,        39,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     93153,     70941
         1,    6392.6,         2,         2,         9,         2,         0,         0,   1235.29,      2854,    44.316,       209,         0,         0,         0,         0,   5936.49,       158,      5826,       117,        26,         0,    16.522,       191,    31.599,        43,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     86614,     86096
         1,   4538.13,         1,         1,         6,         1,         0,         0,   493.748,      1203,    15.537,        76,         0,         0,         0,         0,   2478.31,        78,      2425,        57,        13,         0,    17.458,       161,    23.555,        37,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     33007,     56108
         1,   4683.04,         1,         1,         3,         1,         0,         0,   435.948,      1350,    12.135,        55,         0,         0,         0,         0,   1806.58,        59,      1764,        40,        10,         0,     8.876,        67,     18.76,        29,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     69581,     80241
         1,   1395.55,         1,         1,         4,         1,         0,         0,    35.878,        94,     2.021,        14,         0,         0,         0,         0,   373.724,        17,       364,        10,         0,         0,     2.487,        25,     8.139,        13,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     36627,     22975
         1,   4014.13,         1,         1,         5,         1,         0,         0,   344.629,       994,     8.127,        45,         0,         0,         0,         0,   1023.63,        48,       995,        30,         9,         0,     3.899,        37,    21.488,        27,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     61727,     38355
         1,   8228.98,         1,         1,         9,         2,         0,         0,    1786.1,      5080,     84.05,       390,         0,         0,         0,         0,   7914.38,       216,      7764,       170,        30,         0,     31.86,       165,    43.573,        66,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     74422,     84602
         1,   345.245,         1,         1,         2,         1,         0,         0,     2.676,        11,     0.207,         5,         0,         0,         0,         0,    76.904,         7,        74,         2,         0,         0,      0.53,        13,     1.593,         7,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     21479,     53862
         1,   2116.68,         1,         1,         2,         1,         0,         0,    64.474,       203,     1.367,        14,         0,         0,         0,         0,   205.067,        17,       197,         7,         5,         0,     6.671,        61,     8.389,        15,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     33542,     20596
         1,   3371.54,         1,         1,         3,         1,         0,         0,   162.955,       564,     3.125,        34,         0,         0,         0,         0,   820.699,        34,       803,        18,         9,         0,    12.198,       120,     16.66,        32,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     69943,     72163
         1,   2145.91,         1,         1,         5,         1,         0,         0,   112.806,       318,     3.622,        21,         0,         0,         0,         0,   674.977,        23,       660,        15,         1,         0,     0.866,        12,     9.895,        16,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     62705,     90672
         1,    2544.9,         1,         1,         7,         1,         0,         0,   137.111,       426,     8.508,        44,         0,         0,         0,         0,   1781.64,        48,      1744,        35,         6,         0,     6.235,        59,    14.076,        27,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     20576,     55523
         1,   5813.69,         1,         1,        11,         1,         0,         0,   1010.99,      2341,    17.027,        83,         0,         0,         0,         0,   2634.22,        86,      2570,        64,        14,         0,     6.789,       102,    35.295,        52,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,      5166,     77182
         1,   2592.37,         1,         1,         4,         1,         0,         0,    69.281,       251,     2.506,        20,         0,         0,         0,         0,   479.466,        22,       470,        10,         6,         0,     7.765,        78,    10.344,        20,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     71081,     97972
         1,   3096.29,         1,         1,         4,         1,         0,         0,   143.982,       510,     7.174,        44,         0,         0,         0,         0,   1362.93,        46,      1335,        32,         6,         0,     2.324,        27,     11.21,        22,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     68814,     93692
         1,   5196.18,         1,         1,        10,         1,         0,         0,   577.858,      1864,     29.77,       139,         0,         0,         0,         0,   5094.19,       141,      4990,       113,        17,         0,     8.223,        81,    34.241,        47,    488361,    386126,    188905,    345943,    134320,         0,         0,       110,      8385,    109171,     81311,     85278
