         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,       pts,     polys
         1,   181.527,         2,         2,        13,         0,         0,    762.73,      1331,   735.719,      1217,   413.295,       581,   390.817,       581,   1843.54,       224,      1563,       194,         0,         0,   1844.39,       224,      1565,       194,        21,     5.775,        38,   17841.6,      9773,      8391,      9446,         3,        47
         1,   274.066,         2,         2,        21,         0,         0,   882.586,      1540,   867.143,      1446,   1725.95,      2523,   1688.29,      2523,   4751.23,       566,      4040,       493,         0,         0,   4668.38,       566,      3937,       493,        47,    32.251,       154,   17841.6,      9773,      8391,      9446,         3,        47
         1,   107.528,         1,         1,         7,         0,         0,   299.247,       551,    267.61,       495,    76.099,       170,    64.312,       170,   1254.06,       172,      1088,       133,         0,         0,   1238.07,       172,      1083,       133,        30,    11.955,        73,   17841.6,      9773,      8391,      9446,         3,        47
         1,    176.28,         3,         3,        11,         0,         0,   276.976,       570,    266.92,       519,   965.675,      1740,   982.506,      1740,   2573.16,       337,      2247,       279,         0,         0,   2715.63,       337,      2349,       279,        40,     5.639,        22,   17841.6,      9773,      8391,      9446,         3,        47
         1,   120.827,         1,         1,         7,         0,         0,   406.633,       674,   332.326,       556,   327.468,       545,   275.115,       545,   1409.92,       182,      1203,       151,         0,         0,   1496.81,       182,      1272,       151,        18,    38.313,        94,   17841.6,      9773,      8391,      9446,         3,        47
         1,   209.347,         2,         2,        13,         0,         0,   1228.44,      1502,   1158.06,      1434,   1419.36,      1991,   2145.77,      1991,   4211.82,       457,      3574,       405,         0,         0,   4005.41,       457,      3397,       405,        35,     8.788,        13,   17841.6,      9773,      8391,      9446,         3,        47
         1,   170.109,         3,         3,        12,         0,         0,   432.208,       587,   367.452,       536,   1361.19,      1785,   965.566,      1785,   3193.62,       354,      2527,       289,         0,         0,    3086.7,       354,      2456,       289,        47,     6.764,        32,   17841.6,      9773,      8391,      9446,         3,        47
         1,   47.8718,         1,         1,         6,         0,         0,   145.308,       239,   114.484,       195,    15.866,        39,    11.761,        39,    259.17,        41,       226,        27,         0,         0,   249.278,        41,       218,        27,         5,     6.966,        57,   17841.6,      9773,      8391,      9446,         3,        47
         1,   277.435,         2,         2,        17,         0,         0,   1212.53,      1701,   1072.03,      1644,    2265.1,      3113,   2142.09,      3113,   9869.32,      1186,      8329,      1040,         0,         0,   10012.6,      1186,      8407,      1040,       103,     5.119,        25,   17841.6,      9773,      8391,      9446,         3,        47
         1,    365.25,         2,         2,        23,         0,         0,   940.708,      1565,   869.658,      1436,   1404.21,      1963,   1314.81,      1963,    5158.9,       616,      4382,       545,         0,         0,   5585.57,       616,      4609,       545,        49,      3.65,         8,   17841.6,      9773,      8391,      9446,         3,        47
         1,   134.673,         2,         2,        11,         0,         0,   488.157,       786,   355.954,       620,   299.054,       413,   273.431,       413,   1777.98,       200,      1497,       173,         0,         0,   2175.05,       200,      1847,       173,        20,    38.258,       194,   17841.6,      9773,      8391,      9446,         3,        47
         1,   356.572,         2,         2,        22,         0,         0,   1140.26,      1562,   929.818,      1433,   1766.46,      1954,   1441.62,      1954,   5907.24,       613,      4922,       541,         0,         0,   5838.22,       613,      4472,       541,        49,    19.598,        15,   17841.6,      9773,      8391,      9446,         3,        47
         1,   52.5871,         1,         1,         7,         0,         0,    199.21,       326,   129.692,       236,    17.145,        40,    12.493,        40,   269.701,        42,       234,        29,         0,         0,   255.609,        42,       226,        29,         9,     1.048,         7,   17841.6,      9773,      8391,      9446,         3,        47
         1,   14.3178,         1,         1,         2,         0,         0,    18.777,        40,     8.891,        26,     3.471,         9,     2.131,         9,    40.091,        11,        34,         4,         0,         0,    51.118,        11,        45,         4,         2,     5.386,        21,   17841.6,      9773,      8391,      9446,         3,        47
         1,   124.188,         1,         1,        13,         0,         0,   442.526,       547,   417.823,       497,   880.724,      1525,   880.178,      1525,   3095.94,       278,      2691,       230,         0,         0,   2113.46,       278,      1819,       230,        35,      0.36,        23,   17841.6,      9773,      8391,      9446,         3,        47
         1,   87.0492,         1,         1,         7,         0,         0,   268.819,       512,   242.899,       432,     43.56,        91,    35.169,        91,   593.869,        93,       515,        65,         0,         0,   592.584,        93,       515,        65,        21,    17.521,       100,   17841.6,      9773,      8391,      9446,         3,        47
         1,   98.5009,         2,         2,        10,         0,         0,   241.334,       303,   174.855,       258,    230.82,       318,   210.261,       318,    1025.7,       124,       861,       104,         0,         0,   999.382,       124,       841,       104,        14,    38.132,       140,   17841.6,      9773,      8391,      9446,         3,        47
         1,   263.373,         2,         2,        16,         0,         0,   1094.48,      1670,   1156.31,      1615,   1547.02,      2182,   1471.17,      2182,   6508.82,       808,      5497,       699,         0,         0,    6590.2,       808,      5541,       699,        76,     7.842,        19,   17841.6,      9773,      8391,      9446,         3,        47
         1,   135.186,         3,         3,         7,         0,         0,   378.194,       556,   278.622,       513,   1051.53,      1608,   1038.74,      1608,    2743.5,       360,      2364,       299,         0,         0,   2877.52,       360,      2444,       299,        45,     66.39,       262,   17841.6,      9773,      8391,      9446,         3,        47
         1,   110.382,         1,         1,         8,         0,         0,   270.825,       516,   261.003,       476,   566.614,       887,    475.04,       887,   1472.92,       189,      1271,       153,         0,         0,   1421.14,       189,      1232,       153,        28,    18.095,        73,   17841.6,      9773,      8391,      9446,         3,        47
         1,   161.093,         3,         3,         9,         0,         0,   280.083,       575,   269.306,       526,    1352.1,      1729,   1307.33,      1729,   2606.48,       343,      2254,       274,         0,         0,   3120.31,       343,      2722,       274,        51,    24.704,        80,   17841.6,      9773,      8391,      9446,         3,        47
         1,   21.8995,         1,         1,         4,         0,         0,   235.885,       165,    42.502,        85,    14.047,        28,     9.183,        28,    250.56,        34,       215,        24,         0,         0,   228.173,        34,       198,        24,         4,    10.674,        45,   17841.6,      9773,      8391,      9446,         3,        47
         1,   51.2907,         1,         1,         6,         0,         0,   300.546,       327,    168.56,       227,    21.736,        47,    16.546,        47,   337.418,        49,       272,        33,         0,         0,   305.357,        49,       264,        33,         9,    11.694,        48,   17841.6,      9773,      8391,      9446,         3,        47
         1,   121.359,         2,         2,         7,         0,         0,   377.823,       545,   368.365,       501,   915.219,      1581,   918.529,      1581,   2796.56,       331,      2234,       269,         0,         0,   2793.39,       331,      2224,       269,        48,    24.974,       170,   17841.6,      9773,      8391,      9446,         3,        47
         1,   7.07107,         1,         1,         2,         0,         0,    20.106,        34,     7.137,        20,     1.907,         6,     0.318,         6,     21.62,         8,        18,         2,         0,         0,    19.355,         8,        17,         2,         0,     1.277,        22,   17841.6,      9773,      8391,      9446,         3,        47
         1,   131.736,         3,         3,         8,         0,         0,   274.382,       569,   269.562,       522,   879.665,      1609,   856.753,      1609,    2525.6,       336,      2198,       279,         0,         0,   2550.41,       336,      2202,       279,        44,    47.873,       221,   17841.6,      9773,      8391,      9446,         3,        47
         1,   115.043,         1,         1,         7,         0,         0,   348.647,       608,   294.078,       546,   273.107,       520,   254.445,       520,   1216.21,       162,      1032,       131,         0,         0,   1236.69,       162,      1061,       131,        20,    45.428,       195,   17841.6,      9773,      8391,      9446,         3,        47
