k,dist,cost_ki0,cost_ki,cost_hi,cost_edbt,gen_ki0,gen_ki,gen_hi,gen_edbt,pts,polys
3,1254.93,405.087,16.086,4954.48,144107,1313,57,19,303,9000,8385
3,1423.49,801.833,36.207,39262.3,686584,2462,105,39,3799,9000,8385
3,811.423,407.906,11.904,18774,35272.9,1232,38,26,148,9000,8385
3,1674.73,999.507,47.094,11349.8,214887,3111,143,38,999,9000,8385
3,1222.88,1138.29,32.635,8618.32,112174,3346,84,27,593,9000,8385
3,1347.62,769.159,26.304,12931.5,126851,2197,81,26,488,9000,8385
3,760.465,355.728,21.282,13292.8,71441.4,978,47,28,374,9000,8385
3,1483.11,786.893,46.368,18867.6,230432,2279,111,23,660,9000,8385
3,704.847,240.359,16.722,8713.66,36969,757,48,20,179,9000,8385
3,981.927,542.539,20.967,9687.82,83230.6,1778,66,23,330,9000,8385
3,863.908,614.638,26.181,10100.9,78631,2018,56,23,230,9000,8385
3,1050.89,585.543,24.713,20025.1,178293,1850,76,33,569,9000,8385
3,710.44,38.749,9.983,5874.5,43666.2,105,29,17,105,9000,8385
3,734.946,261.371,13.97,10224.7,120542,827,42,21,213,9000,8385
3,1206.53,927.465,35.777,11937.5,202911,3023,107,21,569,9000,8385
3,734.828,37.121,18.035,5269.69,63481.9,95,23,13,72,9000,8385
3,1150.12,682.556,24.069,12982.5,118256,2228,77,29,612,9000,8385
3,779.092,441.579,16.062,5269.18,37981.1,1434,54,25,169,9000,8385
3,401.294,117.584,7.171,1155.95,6832.96,292,23,9,60,9000,8385
3,1242.48,621.94,25.693,14991,139015,2010,77,25,272,9000,8385
3,815.724,367.742,13.85,4436.85,62100.1,1162,37,22,216,9000,8385
3,1242.77,506.811,37.115,33518.7,199816,1696,100,37,763,9000,8385
3,1475.73,1256.24,57.603,6335.36,238974,3517,137,31,1263,9000,8385
3,1290.77,1028.7,45.094,9432.32,289312,3132,117,33,1080,9000,8385
3,528.64,139.213,13.021,3271.45,45614.4,467,38,25,137,9000,8385
3,912.165,76.418,14.662,11547.6,61266.9,239,41,17,147,9000,8385
3,1090.59,594.942,23.633,11072.4,39285.7,1657,82,34,223,9000,8385
3,995.266,316.578,25.846,6222.8,79809.7,1036,75,26,453,9000,8385
3,1064.52,375.993,21.391,14645,134345,1353,67,22,751,9000,8385
3,485.479,270.431,5.588,3835.58,9283.1,737,23,10,27,9000,8385
3,1885.97,1314.52,71.026,15907.9,263680,4196,180,52,1715,9000,8385
3,1794.46,1244.17,43.776,17537.9,318517,4554,143,38,739,9000,8385
3,1398.09,601.836,28.428,26399.9,82679,1994,110,36,760,9000,8385
3,711.789,596.893,15.719,1130.59,49762.3,1754,47,15,225,9000,8385
3,1744.85,1178.86,53.928,36394,230518,4210,154,52,1454,9000,8385
3,1517.42,1047.36,59.339,22687.9,179142,3055,166,39,1428,9000,8385
3,422.101,162.971,9.128,2934.5,39712.5,645,28,13,78,9000,8385
3,930.643,277.261,17.942,2660.38,42726.2,806,54,14,188,9000,8385
3,1532.6,871.689,39.277,14667.4,203371,2743,136,37,1270,9000,8385
3,1340.12,753.261,31.387,5855.94,213329,2309,111,37,1130,9000,8385
3,1582.36,922.368,38.689,36594.9,138817,2542,120,39,1230,9000,8385
3,1101.59,706.769,40.273,5346.22,238414,1593,84,32,720,9000,8385
3,669.897,380.171,9.919,6844.79,95010,1249,30,19,212,9000,8385
3,845.691,441.298,16.358,7639.04,46811,1282,53,20,134,9000,8385
3,1531.66,1046.02,33.961,8477.98,48719.5,3123,102,28,278,9000,8385
3,743.551,459.787,21.116,12323.6,109134,1250,69,22,265,9000,8385
3,1013.37,603.658,19.436,17874.5,119571,1776,59,37,630,9000,8385
3,1345.91,813.652,41.095,22501.2,110972,2619,109,28,538,9000,8385
3,1277.29,823.244,38.097,20574.8,255594,2655,109,27,1331,9000,8385
3,899.086,555.124,23.847,10118.7,43817.4,1742,68,30,271,9000,8385
3,848.11,489.865,13.87,2022.14,29047.6,1595,45,21,219,9000,8385
3,256.113,19.41,3.159,2050.13,48650.8,54,13,13,49,9000,8385
3,1056.44,485.515,24.626,20029.5,83646.9,1643,73,26,305,9000,8385
3,1327.14,744.786,60.317,27472,564311,2320,161,64,2714,9000,8385
3,1218.44,519.784,30.935,17204.7,87762.4,1570,76,26,503,9000,8385
3,1010.99,389.608,23.617,2965.01,45161.6,1160,68,30,370,9000,8385
3,1133.14,662.869,31.108,11014.2,169437,2003,77,31,816,9000,8385
3,593.943,22.419,4.55,1315.85,6732.58,86,19,13,36,9000,8385
3,1511.35,1127.08,45.417,29364.3,180016,3659,135,40,706,9000,8385
3,1413.41,607.826,35.895,29933.5,339306,1907,105,32,1530,9000,8385
3,1398.21,930.871,35.185,7408.02,143522,2985,103,50,1180,9000,8385
3,1302.82,894.786,35.047,20057.1,136270,2905,104,31,782,9000,8385
3,1174.55,706.653,30.911,3837.35,102236,1923,94,33,806,9000,8385
3,1413.78,985.341,39.803,14777.9,211647,3234,109,29,1014,9000,8385
3,1909.1,1236.94,85,15196.7,651126,4357,225,71,2258,9000,8385
3,715.364,70.567,9.771,4816.7,59200.8,170,30,12,133,9000,8385
3,984.773,419.826,24.477,5990.93,233863,1215,63,17,420,9000,8385
3,1173.06,751.304,29.63,20652.7,83656.2,2348,86,23,344,9000,8385
3,858.115,407.264,13.273,10107.3,69896.1,1382,39,16,164,9000,8385
3,1108.75,461.336,24.407,15663.9,93383.8,1558,63,33,403,9000,8385
3,1773.79,1168.55,51.995,38187.5,192398,4263,181,51,1355,9000,8385
3,1028.5,429.915,18.988,5167.09,135995,1140,51,19,229,9000,8385
3,803.889,337.812,12.262,14945.3,55056.7,1040,36,22,164,9000,8385
3,1304.86,895.558,30.082,20507.7,74604.2,2962,92,23,431,9000,8385
3,1022.34,652.077,23.617,8739.76,51881,1772,73,25,298,9000,8385
3,1212.05,641.008,26.267,4940.82,37297.5,2076,94,36,277,9000,8385
3,1075.41,536.611,32.572,16489.5,201729,1844,99,28,620,9000,8385
3,1104.35,522.814,22.037,16962.2,110816,1352,65,33,424,9000,8385
3,660.786,267.346,14.036,3903.53,29383.5,734,38,18,114,9000,8385
3,1847.47,1359.4,98.869,36171.4,674228,3839,245,74,5297,9000,8385
3,1233.59,420.004,59.921,25931.8,145197,1412,213,110,800,9000,8385
3,1225.44,584.843,29.975,6346.83,135228,1924,91,36,542,9000,8385
3,891.494,367.559,16.21,8352.77,112463,1227,49,23,263,9000,8385
3,1205.11,425.791,23.842,8659.56,196296,1402,67,25,910,9000,8385
3,1186.85,617.523,34.944,15389.3,220795,1900,101,23,1157,9000,8385
3,849.087,318.259,15.511,7411.74,66221.6,927,39,20,236,9000,8385
3,941.48,410.209,24.586,7228.37,40844.4,1270,69,16,225,9000,8385
3,895.608,564.907,15.074,11890.3,72588.2,1870,53,21,363,9000,8385
3,757.962,439.104,16.755,6334.19,60179.1,1129,40,17,164,9000,8385
3,810.191,482.766,15.47,4120.71,68728.2,1207,39,19,203,9000,8385
3,892.377,404.555,19.603,16901.7,43708.1,1180,66,21,258,9000,8385
3,865.229,260.199,24.882,7921.23,196928,800,67,18,455,9000,8385
3,1449.65,941.148,37.754,5310.85,234630,2663,110,21,515,9000,8385
3,625.251,304.416,13.634,8716.55,60795.3,921,36,22,186,9000,8385
3,1612.53,932.411,51.302,39192.4,265711,2821,150,50,1975,9000,8385
3,915.456,534.324,22.743,12976.2,113333,1809,67,34,446,9000,8385
3,1539.97,1216.74,82.891,20234.7,415085,3590,182,38,2234,9000,8385
3,1407.53,947.213,64.88,26675.7,399944,2465,137,32,1472,9000,8385
3,890.405,414.453,14.544,7500.34,39312.4,1266,44,25,256,9000,8385
3,625.162,292.554,11.932,7274.5,60781.6,843,34,19,225,9000,8385
3,1099.33,474.798,19.115,12736.4,134813,1677,58,21,415,9000,8385
3,919.872,535.366,27.685,18784.5,68174.5,1668,82,37,352,9000,8385
3,501.878,236.746,9.581,15970.1,22530.7,619,36,17,83,9000,8385
3,1193.1,622.632,33.224,5710.45,701075,1779,71,24,1480,9000,8385
3,1739.98,1165.78,51.361,18273.4,245691,3888,158,50,1258,9000,8385
3,863.311,299.309,19.617,10426.8,114056,910,56,28,439,9000,8385
3,686.409,250.144,7.17,751.34,17567.3,872,27,16,52,9000,8385
3,829.501,579.821,12.866,7649.07,52876.2,1195,35,24,255,9000,8385
3,1363.97,977.057,34.656,34006.5,134652,2873,110,28,604,9000,8385
3,1299.2,859.8,28.537,10454.6,90356.5,2679,88,23,569,9000,8385
3,1545.94,779.108,35.687,7286.75,63093.4,2563,124,35,541,9000,8385
3,1233.28,575.682,38.206,10766.2,220515,1878,112,20,712,9000,8385
3,721.23,301.417,15.222,11273.9,82599.4,830,38,17,210,9000,8385
3,1701.85,506.698,53.362,34124.3,289679,1578,148,46,1307,9000,8385
