K,order,dist,cost_ki,cost_edbt,vnum,density
4,4,1978.53,11.905,44186.9,2,1.08025
4,1,900.392,20.029,47120.9,2,1.08025
4,2,1096.84,20.029,47120.9,3,1.08025
4,3,1224.51,20.029,47120.9,2,1.08025
4,4,2020.12,20.029,47120.9,3,1.08025
4,1,810.083,8.542,34371.5,3,1.08025
4,2,916.564,8.542,34371.5,3,1.08025
4,3,1099.06,8.542,34371.5,2,1.08025
4,4,1399.99,8.542,34371.5,3,1.08025
4,1,419.315,42.4,236394,2,1.08025
4,2,1408.87,42.4,236394,2,1.08025
4,3,2348.5,42.4,236394,3,1.08025
4,4,2628.72,42.4,236394,2,1.08025
4,1,1328.88,51.261,78633.9,2,1.08025
4,2,1478.41,51.261,78633.9,3,1.08025
4,3,1851.72,51.261,78633.9,3,1.08025
4,4,2660.08,51.261,78633.9,4,1.08025
4,1,2061.02,75.466,389591,4,1.08025
4,2,3134.82,75.466,389591,2,1.08025
4,3,3726.21,75.466,389591,2,1.08025
4,4,3871.43,75.466,389591,4,1.08025
4,1,1803.51,43.791,92801.1,3,1.08025
4,2,1967.05,43.791,92801.1,4,1.08025
4,3,2357.1,43.791,92801.1,3,1.08025
4,4,2594.65,43.791,92801.1,3,1.08025
4,1,1242.11,22.247,81529,2,1.08025
4,2,1474.08,22.247,81529,2,1.08025
4,3,2031.23,22.247,81529,3,1.08025
4,4,2147.42,22.247,81529,2,1.08025
4,1,1209.17,15.383,257398,2,1.08025
4,2,1528.61,15.383,257398,4,1.08025
4,3,1643.14,15.383,257398,3,1.08025
4,4,1713.83,15.383,257398,2,1.08025
4,1,610.85,37.89,239467,2,1.08025
4,2,1914.62,37.89,239467,3,1.08025
4,3,1974.34,37.89,239467,3,1.08025
4,4,2661.44,37.89,239467,3,1.08025
4,1,393.113,25.103,64706.3,2,1.08025
4,2,783.658,25.103,64706.3,2,1.08025
4,3,1213.45,25.103,64706.3,5,1.08025
4,4,1476.44,25.103,64706.3,2,1.08025
4,1,3216.84,89.258,448264,5,1.08025
4,2,3555.32,89.258,448264,5,1.08025
4,3,3701.05,89.258,448264,3,1.08025
4,4,4084.05,89.258,448264,4,1.08025
4,1,1120.58,21.378,134710,2,1.08025
4,2,1659.77,21.378,134710,3,1.08025
4,3,2099.73,21.378,134710,2,1.08025
4,4,2152.2,21.378,134710,3,1.08025
4,1,788.812,17.086,60377.8,2,1.08025
4,2,1294.29,17.086,60377.8,2,1.08025
4,3,1436.02,17.086,60377.8,2,1.08025
4,4,1711.77,17.086,60377.8,3,1.08025
4,1,905.067,7.75,29125.1,2,1.08025
4,2,913.613,7.75,29125.1,2,1.08025
4,3,963.748,7.75,29125.1,2,1.08025
4,4,1660.12,7.75,29125.1,2,1.08025
4,1,1357.21,55.064,433230,2,1.08025
4,2,1691.38,55.064,433230,5,1.08025
4,3,1902.79,55.064,433230,2,1.08025
4,4,3740.72,55.064,433230,6,1.08025
4,1,239.719,50.814,271745,2,1.08025
4,2,2475.37,50.814,271745,5,1.08025
