vertices: 3940, polygons: 4498
       idx,    K,order,             dist_ki,           dist_edbt,             cost_ki,           cost_edbt,   vnum_ki, vnum_edbt
        37,    5,    0,                   0,                   0,              11.217,             46263.8,         1,         2
        37,    5,    1,             3265.32,             3265.32,              11.217,             46263.8,         2,         2
        37,    5,    2,             3477.28,             3477.28,              11.217,             46263.8,         2,         2
        37,    5,    3,             4085.43,             4085.43,              11.217,             46263.8,         2,         2
        37,    5,    4,             4652.35,             4652.35,              11.217,             46263.8,         2,         2
        38,    5,    0,                   0,                   0,              44.885,              124910,         1,         2
        38,    5,    1,              5672.6,              5672.6,              44.885,              124910,         4,         4
        38,    5,    2,             8592.57,             8592.57,              44.885,              124910,         4,         4
        38,    5,    3,             9402.11,             9402.11,              44.885,              124910,         3,         3
        38,    5,    4,             10055.3,             10055.3,              44.885,              124910,         8,         8
        39,    5,    0,                   0,                   0,               9.208,             38934.4,         1,         2
        39,    5,    1,              2977.1,              2977.1,               9.208,             38934.4,         3,         3
        39,    5,    2,             3113.74,             3113.74,               9.208,             38934.4,         3,         3
        39,    5,    3,             3477.98,             3477.98,               9.208,             38934.4,         2,         2
        39,    5,    4,             4595.48,             4595.48,               9.208,             38934.4,         3,         3
        40,    5,    0,                   0,                   0,              14.642,             52095.5,         1,         2
        40,    5,    1,             4981.38,             4981.38,              14.642,             52095.5,         2,         2
        40,    5,    2,              4986.2,              4986.2,              14.642,             52095.5,         2,         2
        40,    5,    3,                5024,                5024,              14.642,             52095.5,         2,         2
        40,    5,    4,             5300.21,             5300.21,              14.642,             52095.5,         2,         2
        41,    5,    0,                   0,                   0,              16.314,             40348.9,         1,         2
        41,    5,    1,             454.089,             454.089,              16.314,             40348.9,         2,         2
        41,    5,    2,             3095.12,             3095.12,              16.314,             40348.9,         3,         3
        41,    5,    3,             3983.12,             3983.12,              16.314,             40348.9,         4,         4
        41,    5,    4,             4912.65,             4912.65,              16.314,             40348.9,         4,         4
        42,    5,    0,                   0,                   0,               9.726,             29460.3,         1,         2
        42,    5,    1,             1845.33,             1845.33,               9.726,             29460.3,         2,         2
        42,    5,    2,             2308.29,             2308.29,               9.726,             29460.3,         2,         2
        42,    5,    3,             2645.18,             2645.18,               9.726,             29460.3,         2,         2
        42,    5,    4,              3850.1,              3850.1,               9.726,             29460.3,         4,         4
        43,    5,    0,                   0,                   0,              24.365,             27132.4,         1,         2
        43,    5,    1,             1799.11,             1799.11,              24.365,             27132.4,         2,         2
        43,    5,    2,             3072.73,             3072.73,              24.365,             27132.4,         3,         3
        43,    5,    3,             3760.75,             3760.75,              24.365,             27132.4,         3,         3
        43,    5,    4,             5791.19,             5791.19,              24.365,             27132.4,         3,         3
        44,    5,    0,                   0,                   0,              14.394,             39417.7,         1,         2
        44,    5,    1,             2226.86,             2226.86,              14.394,             39417.7,         2,         2
        44,    5,    2,             2618.89,             2618.89,              14.394,             39417.7,         2,         2
        44,    5,    3,             3137.58,             3137.58,              14.394,             39417.7,         2,         2
        44,    5,    4,             4513.98,             4513.98,              14.394,             39417.7,         3,         3
        45,    5,    0,                   0,                   0,               54.83,              125130,         1,         2
        45,    5,    1,             3515.14,             3515.14,               54.83,              125130,         3,         3
        45,    5,    2,             3686.42,             3686.42,               54.83,              125130,         3,         3
        45,    5,    3,             6676.99,             6676.99,               54.83,              125130,         6,         6
        45,    5,    4,              6757.5,              6757.5,               54.83,              125130,         5,         5
        46,    5,    0,                   0,                   0,               5.614,               38435,         1,         2
        46,    5,    1,             1312.79,             1312.79,               5.614,               38435,         2,         2
        46,    5,    2,                1420,                1420,               5.614,               38435,         2,         2
        46,    5,    3,                2305,                2305,               5.614,               38435,         2,         2
        46,    5,    4,             3779.09,             3779.09,               5.614,               38435,         2,         2
        47,    5,    0,                   0,                   0,              13.861,             35571.4,         1,         2
        47,    5,    1,             2031.43,             2031.43,              13.861,             35571.4,         2,         2
        47,    5,    2,             2354.56,             2354.56,              13.861,             35571.4,         3,         3
        47,    5,    3,             4157.27,             4157.27,              13.861,             35571.4,         2,         2
        47,    5,    4,             4614.67,             4614.67,              13.861,             35571.4,         3,         3
        48,    5,    0,                   0,                   0,              22.656,             38630.6,         1,         2
        48,    5,    1,             4160.56,             4160.56,              22.656,             38630.6,         4,         4
        48,    5,    2,                6100,                6100,              22.656,             38630.6,         3,         3
        48,    5,    3,              6943.3,              6943.3,              22.656,             38630.6,         5,         5
        48,    5,    4,             7750.52,             7750.52,              22.656,             38630.6,         5,         5
        49,    5,    0,                   0,                   0,              12.608,             33814.9,         1,         2
        49,    5,    1,             617.681,             617.681,              12.608,             33814.9,         2,         2
        49,    5,    2,             2673.27,             2673.27,              12.608,             33814.9,         3,         3
        49,    5,    3,             3719.45,             3719.45,              12.608,             33814.9,         2,         2
        49,    5,    4,             4362.31,             4362.31,              12.608,             33814.9,         3,         3
        50,    5,    0,                   0,                   0,               25.89,              103891,         1,         2
        50,    5,    1,             2914.32,             2914.32,               25.89,              103891,         2,         2
        50,    5,    2,             3023.35,             3023.35,               25.89,              103891,         3,         3
        50,    5,    3,             4071.15,             4071.15,               25.89,              103891,         2,         2
        50,    5,    4,             4150.96,             4150.96,               25.89,              103891,         5,         5
        51,    5,    0,                   0,                   0,              15.708,              110298,         1,         2
        51,    5,    1,             574.645,             574.645,              15.708,              110298,         2,         2
        51,    5,    2,             1976.96,             1976.96,              15.708,              110298,         2,         2
        51,    5,    3,             2815.11,             2815.11,              15.708,              110298,         2,         2
        51,    5,    4,             3873.36,             3873.36,              15.708,              110298,         3,         3
        52,    5,    0,                   0,                   0,              14.632,             35947.8,         1,         2
        52,    5,    1,             1697.75,             1697.75,              14.632,             35947.8,         2,         2
        52,    5,    2,             1862.56,             1862.56,              14.632,             35947.8,         2,         2
        52,    5,    3,             3132.78,             3132.78,              14.632,             35947.8,         3,         3
        52,    5,    4,             4657.28,             4657.28,              14.632,             35947.8,         3,         3
        53,    5,    0,                   0,                   0,              19.885,              246960,         1,         2
        53,    5,    1,             1119.59,             1119.59,              19.885,              246960,         2,         2
        53,    5,    2,             2077.22,             2077.22,              19.885,              246960,         2,         2
        53,    5,    3,             3578.81,             3578.81,              19.885,              246960,         6,         6
        53,    5,    4,                3949,                3949,              19.885,              246960,         2,         2
        54,    5,    0,                   0,                   0,              15.569,             19672.9,         1,         2
        54,    5,    1,             3424.35,             3424.35,              15.569,             19672.9,         3,         3
        54,    5,    2,             5360.72,             5360.72,              15.569,             19672.9,         3,         3
        54,    5,    3,             5445.48,             5445.48,              15.569,             19672.9,         4,         4
        54,    5,    4,             6666.21,             6666.21,              15.569,             19672.9,         3,         3
        55,    5,    0,                   0,                   0,              19.378,             63467.8,         1,         2
        55,    5,    1,             879.539,             879.539,              19.378,             63467.8,         2,         2
        55,    5,    2,             2538.04,             2538.04,              19.378,             63467.8,         2,         2
        55,    5,    3,             4245.22,             4245.22,              19.378,             63467.8,         5,         5
        55,    5,    4,             4645.05,             4645.05,              19.378,             63467.8,         4,         4
        56,    5,    0,                   0,                   0,              11.194,             15923.2,         1,         2
        56,    5,    1,             342.317,             342.317,              11.194,             15923.2,         2,         2
        56,    5,    2,             2002.06,             2002.06,              11.194,             15923.2,         2,         2
        56,    5,    3,             4153.59,             4153.59,              11.194,             15923.2,         2,         2
        56,    5,    4,             4744.05,             4744.05,              11.194,             15923.2,         2,         2
        57,    5,    0,                   0,                   0,              12.754,             31096.8,         1,         2
        57,    5,    1,             1673.77,             1673.77,              12.754,             31096.8,         2,         2
        57,    5,    2,             2235.96,             2235.96,              12.754,             31096.8,         2,         2
        57,    5,    3,             3286.99,             3286.99,              12.754,             31096.8,         2,         2
        57,    5,    4,             3414.92,             3414.92,              12.754,             31096.8,         3,         3
        58,    5,    0,                   0,                   0,              24.922,             44664.8,         1,         2
        58,    5,    1,             1904.41,             1904.41,              24.922,             44664.8,         2,         2
        58,    5,    2,             3033.78,             3033.78,              24.922,             44664.8,         2,         2
        58,    5,    3,             3201.18,             3201.18,              24.922,             44664.8,         3,         3
        58,    5,    4,              3387.3,              3387.3,              24.922,             44664.8,         5,         5
        59,    5,    0,                   0,                   0,               16.78,              411011,         1,         2
        59,    5,    1,             2077.22,             2077.22,               16.78,              411011,         2,         2
        59,    5,    2,             2494.33,             2494.33,               16.78,              411011,         2,         2
