         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys
         1,   19145.1,         1,         1,        28,         0,         0,    100901,    218183,   15629.6,     30748,   271.548,      1126,   247.385,      1126,   15762.2,      1130,     14783,       955,       111,         0,   16087.8,      1130,     15135,       955,       111,    94.219,       130,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   7776.97,         1,         1,        15,         0,         0,   16110.2,     48399,   1666.77,      4568,    46.925,       209,    36.012,       209,   3107.29,       212,      2946,       174,        27,         0,   2778.14,       212,      2622,       174,        27,    34.886,        58,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   4804.09,         1,         1,         8,         0,         0,   6178.24,     18866,   413.808,      1519,    10.366,        49,     6.025,        49,   625.862,        50,       585,        32,         9,         0,   516.397,        50,       486,        32,         9,    20.096,        35,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   20724.7,         1,         1,        29,         0,         0,   95884.1,    231511,   14201.4,     29191,   426.084,      1619,   397.368,      1619,   22688.1,      1622,     21319,      1360,       184,         0,   22645.1,      1622,     21312,      1360,       184,    96.785,       136,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   19101.5,         1,         1,        23,         0,         0,    114398,    257004,   18652.2,     36446,   489.259,      1745,   462.872,      1745,   25422.6,      1747,     23915,      1463,       223,         0,   24952.1,      1747,     23567,      1463,       223,    97.411,       125,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,    4627.7,         1,         1,         7,         0,         0,   6352.43,     19328,     445.8,      1616,    10.963,        46,     6.137,        46,   630.279,        50,       596,        37,         5,         0,   618.452,        50,       586,        37,         5,    16.829,        27,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   21450.5,         1,         1,        27,         0,         0,    153990,    312683,   24210.6,     47074,    413.11,      1443,   333.286,      1443,   20564.7,      1445,     19364,      1206,       170,         0,     20413,      1445,     19264,      1206,       170,    93.419,       121,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   19415.2,         1,         1,        29,         0,         0,   92191.1,    217162,   13477.5,     27318,   389.654,      1197,   318.574,      1197,   16267.1,      1199,     15319,       995,       150,         0,   17119.3,      1199,     16120,       995,       150,   130.166,       144,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   28299.4,         1,         1,        42,         0,         0,    247746,    447859,   41513.4,     69156,   1489.91,      4361,   1327.26,      4361,   65471.8,      4363,     61149,      3773,       442,         0,   65641.1,      4363,     61345,      3773,       442,   159.922,       205,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   36027.5,         1,         1,        50,         0,         0,    353332,    627144,   48934.2,     83103,   1951.66,      5596,   1856.59,      5596,   85119.9,      5599,     78973,      4845,       578,         0,   82222.3,      5599,     76646,      4845,       578,   190.387,       234,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   8183.54,         1,         1,         9,         0,         0,   17331.2,     50848,   1758.54,      5244,    45.494,       199,    34.636,       199,    2703.4,       204,      2545,       161,        31,         0,    2737.1,       204,      2584,       161,        31,    48.067,        66,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   33721.1,         1,         1,        10,         0,         0,    176405,    399609,     23822,     44952,   263.981,      1027,   236.915,      1027,   13978.6,      1028,     13098,       857,       126,         0,   14229.1,      1028,     13395,       857,       126,   147.257,       176,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   15530.2,         1,         1,        23,         0,         0,   70404.7,    167751,   9852.35,     21501,    197.37,       813,   176.499,       813,   11267.9,       817,     10580,       687,        91,         0,   11456.9,       817,     10782,       687,        91,    70.921,        98,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   11365.1,         1,         1,        12,         0,         0,   37110.9,    101406,   4503.57,     11140,   233.643,       979,    211.58,       979,   6705.97,       452,      6341,       381,        53,         0,    6351.6,       452,      6001,       381,        53,    56.556,        71,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   21049.5,         1,         1,        20,         0,         0,     92804,    236337,     11829,     25897,   322.263,      1249,   294.832,      1249,   17588.8,      1252,     16576,      1043,       149,         0,     17585,      1252,     16566,      1043,       149,   110.752,       148,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   10448.5,         1,         1,        12,         0,         0,   19897.4,     66371,   2136.54,      5754,    60.544,       173,    31.459,       173,   2624.67,       175,      2504,       139,        26,         0,   2384.76,       175,      2248,       139,        26,    63.866,        60,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   7276.61,         1,         1,         8,         0,         0,   12796.2,     38460,   1314.98,      4109,     39.91,       176,    30.549,       176,   2220.39,       179,      2094,       136,        31,         0,   2262.93,       179,      2139,       136,        31,    47.255,        70,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,     17208,         1,         1,        12,         0,         0,   64745.2,    165193,   9697.54,     20203,    168.16,       661,   146.161,       661,    9042.8,       663,      8493,       547,        86,         0,   9279.87,       663,      8726,       547,        86,     87.84,       118,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   7655.57,         1,         1,        10,         0,         0,   13550.7,     42878,   1317.44,      4173,    53.907,       226,    41.994,       226,   3147.43,       229,      2971,       185,        29,         0,   3260.32,       229,      3077,       185,        29,    42.968,        64,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   24909.4,         1,         1,         4,         0,         0,    174396,    351443,   26668.3,     47725,    91.459,       416,    72.889,       416,   5271.18,       418,      4939,       322,        67,         0,   5262.85,       418,      4958,       322,        67,    92.216,       118,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   9189.79,         1,         1,         8,         0,         0,   19750.6,     61836,   2205.45,      6243,    53.487,       223,    41.639,       223,   2947.61,       225,      2770,       180,        29,         0,   2934.88,       225,      2758,       180,        29,     50.28,        64,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   31680.2,         1,         1,        37,         0,         0,    185215,    390364,   24148.4,     45648,   1302.77,      4188,   1233.84,      4188,   59394.6,      4190,     55605,      3573,       479,         0,   60213.9,      4190,     56609,      3573,       479,   157.478,       202,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   3011.84,         1,         1,         7,         0,         0,    2650.4,      6734,   114.071,       491,    13.148,        55,     7.769,        55,    766.91,        57,       732,        43,         6,         0,   717.373,        57,       680,        43,         6,     18.44,        30,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   23019.5,         1,         1,         7,         0,         0,    166048,    327575,   25214.4,     46255,   172.498,       741,   146.978,       741,   9582.97,       743,      8972,       604,        99,         0,   9858.91,       743,      9276,       604,        99,   114.334,       147,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   29899.7,         1,         1,        45,         0,         0,    311970,    558155,   58937.7,     98359,    1021.1,      3526,   1002.97,      3526,   50229.8,      3528,     47085,      2980,       406,         0,   50051.8,      3528,     47060,      2980,       406,   142.415,       190,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,    7659.5,         1,         1,        14,         0,         0,   19065.9,     45620,   1957.83,      5013,    55.595,       229,    45.174,       229,   3153.24,       233,      2963,       190,        33,         0,   3046.72,       233,      2857,       190,        33,    47.431,        65,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,     16697,         1,         1,        18,         0,         0,   85872.7,    200427,   11812.8,     26492,   218.013,       830,   199.779,       830,     11380,       834,     10662,       689,       106,         0,   11408.4,       834,     10692,       689,       106,    84.186,       113,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   15248.9,         1,         1,         5,         0,         0,   66377.2,    159160,   9347.67,     20816,     64.73,       283,    50.873,       283,   3653.32,       283,      3427,       226,        39,         0,   3569.22,       283,      3351,       226,        39,    56.279,        71,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   13369.4,         1,         1,        18,         0,         0,   52175.8,    131020,   6871.55,     16009,   173.548,       628,   153.521,       628,   8885.96,       630,      8358,       519,        88,         0,      8887,       630,      8363,       519,        88,    78.807,       103,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   22664.8,         1,         1,        27,         0,         0,    175161,    341192,   28234.3,     53973,   650.721,      2196,   595.307,      2196,   31327.8,      2199,     29297,      1870,       241,         0,     31517,      2199,     29562,      1870,       241,   115.515,       151,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   7428.58,         1,         1,        11,         0,         0,   14083.5,     46207,   1231.55,      4077,    53.759,       235,    42.636,       235,   3584.16,       237,      3412,       190,        36,         0,   3162.48,       237,      2986,       190,        36,    37.882,        52,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
         1,   13712.4,         1,         1,        12,         0,         0,   56043.7,    142702,   7518.11,     17712,    99.495,       383,    83.705,       383,   5379.52,       385,      5061,       315,        56,         0,   5348.35,       385,      5038,       315,        56,    72.062,        91,    423286,    415609,    188905,    376486,    134320,         0,         0,        13,      8385
