         k,      dist, cost_poly,  gen_poly,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_ki,    gen_ki,  cost_ki0,   gen_ki0,  cost_pre,   gen_pre,   edgecnt,    damcnt,       pts,     polys
         1,   14786.6,    132384,    270937,   12985.1,       760,     12344,       637,         0,    8447.4,     18686,   59329.7,    151401,    446514,    413370,    188905,    374639,        15,      8385
         1,   19676.9,   47523.2,    110021,   12263.5,       749,     11626,       618,         0,   19279.9,     38746,    130709,    269654,    446514,    413370,    188905,    374639,        15,      8385
         1,   14902.8,    132686,    278928,   19915.1,      1153,     18928,       976,         0,   4360.97,     10994,   45456.8,    120949,    446514,    413370,    188905,    374639,        15,      8385
         1,   9343.07,    121254,    245358,   5021.27,       300,      4795,       257,         0,   2811.71,      7333,   26005.9,     70498,    446514,    413370,    188905,    374639,        15,      8385
         1,   10646.7,    121956,    250908,   5740.74,       380,      5462,       316,         0,   2314.17,      5980,   26988.7,     69651,    446514,    413370,    188905,    374639,        15,      8385
         1,   19399.9,    102972,    213195,   25010.7,      1501,     23659,      1290,         0,   14707.3,     30491,    108338,    229705,    446514,    413370,    188905,    374639,        15,      8385
         1,   17254.3,     61608,    145221,   24411.8,      1451,     23137,      1225,         0,   14467.3,     29694,   99391.1,    209384,    446514,    413370,    188905,    374639,        15,      8385
         1,   23278.2,    127030,    259032,     45720,      2657,     43288,      2263,         0,   16662.1,     34348,    129424,    277079,    446514,    413370,    188905,    374639,        15,      8385
         1,   25050.4,    104561,    216995,   45434.3,      2567,     43094,      2213,         0,   24140.3,     46647,    175672,    342160,    446514,    413370,    188905,    374639,        15,      8385
         1,   15911.7,    215578,    375082,     16372,       983,     15643,       814,         0,   4991.07,     11507,   51702.2,    122971,    446514,    413370,    188905,    374639,        15,      8385
         1,   16599.4,   37664.3,     95411,   13987.3,       852,     13287,       708,         0,   12504.1,     26903,   90132.4,    201425,    446514,    413370,    188905,    374639,        15,      8385
         1,   8652.53,    122428,    249237,   2069.09,       142,      1986,       107,         0,   1786.64,      5404,   20806.9,     57339,    446514,    413370,    188905,    374639,        15,      8385
         1,   3943.35,    124058,    231982,   1116.95,        75,      1071,        54,         0,   244.472,       896,   4926.38,     14266,    446514,    413370,    188905,    374639,        15,      8385
         1,   14991.6,     43064,    100348,   5163.65,       319,      4921,       264,         0,    8614.6,     20495,   72105.6,    166117,    446514,    413370,    188905,    374639,        15,      8385
         1,   10640.1,   52696.7,    122410,   3770.59,       235,      3610,       187,         0,   3865.21,      9684,   34934.9,     86863,    446514,    413370,    188905,    374639,        15,      8385
         1,   18067.7,   66667.7,    154399,     29128,      1707,     27617,      1439,         0,   16240.8,     32947,    114754,    235469,    446514,    413370,    188905,    374639,        15,      8385
         1,   25077.8,    125047,    256225,   44098.9,      2628,     41843,      2200,         0,   32045.3,     54530,    190041,    365651,    446514,    413370,    188905,    374639,        15,      8385
