k,order,dist,cost_polyanya,cost_ki,cost_hi,cost_hi2,h_cost,h_cost2,vnum,gen_poly,push_poly,gen_ki,push_ki,prune_ki,gen_hi,push_hi,prune_hi,hcall,reevaluate,gen_hi2,push_hi2,prune_hi2,hcall2,reevaluate2,precost,gen_pre,edgecnt,damcnt,pts,polys
1,1,29231.5,13260.6,35427.3,15113.3,4693.56,13314,3411,31,34206,33155,65445,63998,6341,2030,1960,59,1697,0,2030,1960,59,442,0,278934,317068,133402,290906,6,5862
1,1,33587.6,50842.7,19182.3,17323.1,5248.95,15178,3700,33,99573,96883,38295,37508,3794,2285,2206,43,1928,0,2285,2206,43,483,0,278934,317068,133402,290906,6,5862
1,1,18626.9,19860.5,11124.1,9024.7,3057.42,7905,2231,19,45892,44526,23691,23118,2021,1214,1172,28,1004,0,1209,1167,28,287,0,278934,317068,133402,290906,6,5862
1,1,18804.3,30879.2,8700.76,4624,1550.85,4097,1131,11,70283,68317,17101,16670,1557,618,601,3,528,0,618,601,3,149,0,278934,317068,133402,290906,6,5862
1,1,20487.8,8236.91,14415.9,7639.85,3662.65,6765,2741,25,16592,16088,28596,27895,2443,1072,1029,18,873,0,1072,1029,18,229,0,278934,317068,133402,290906,6,5862
1,1,36390.6,12878.6,53279.3,24406.9,7454.09,21304,5260,38,33716,32642,90687,88830,8883,3207,3094,69,2708,0,3207,3094,69,663,0,278934,317068,133402,290906,6,5862
1,1,12186.7,7379.66,3765.31,1537.07,534.926,1385,398,17,21304,20622,9195,8936,635,221,208,0,174,0,221,208,0,46,0,278934,317068,133402,290906,6,5862
1,1,18205,11943,9178.46,6039.39,3651.62,5335,2866,21,24083,23320,20679,20175,1626,818,783,7,683,0,818,783,7,196,0,278934,317068,133402,290906,6,5862
1,1,35242.8,29939.9,44748.1,23582.8,7011.2,20684,5017,20,58721,57072,77771,76192,7931,2994,2908,44,2530,0,2877,2793,43,597,0,278934,317068,133402,290906,6,5862
1,1,22475.7,12750.9,8751.24,10172.3,2887.92,8996,2026,24,32660,31671,19560,19100,1733,1364,1318,34,1132,0,1364,1318,34,260,0,278934,317068,133402,290906,6,5862
1,1,2157.62,7218.56,37.599,124.714,71.537,112,59,5,18617,18021,130,125,0,23,23,0,13,0,23,23,0,6,0,278934,317068,133402,290906,6,5862
1,1,16446.6,13726.5,4676.07,4967.9,1223.81,4410,822,16,33901,32910,11193,10933,818,691,667,9,553,0,691,667,9,107,0,278934,317068,133402,290906,6,5862
1,1,17094.1,11452.2,8409.44,3827.97,1330.54,3425,1003,23,28557,27674,18499,18008,1462,523,503,3,431,0,523,503,3,128,0,278934,317068,133402,290906,6,5862
1,1,10375.4,5409.62,2298.76,2844.59,769.888,2549,536,15,16035,15534,6234,6042,348,392,382,3,321,0,392,382,3,71,0,278934,317068,133402,290906,6,5862
1,1,43018.7,49917.9,32284.6,2560.62,1073.19,2234,809,5,102907,100347,59259,58164,6505,355,345,0,291,0,355,345,0,101,0,278934,317068,133402,290906,6,5862
1,1,40710.6,22553.3,27251,51570.3,17665.1,45049,12644,48,51888,50352,49190,48190,5194,6641,6408,193,5711,0,6542,6313,191,1556,0,278934,317068,133402,290906,6,5862
1,1,15545.4,9456.44,6480.73,3470.93,1397.25,3090,1051,10,16165,15655,15302,14902,1208,464,443,1,383,0,464,443,1,126,0,278934,317068,133402,290906,6,5862
